loss: (0, 1207.9176025390625)
loss: (1, 7569.93505859375)
loss: (2, 2343.91552734375)
loss: (3, 3048.203857421875)
loss: (4, 1541.8475341796875)
loss: (5, 1779.51318359375)
loss: (6, 2278.81103515625)
loss: (7, 1726.2412109375)
loss: (8, 2045.1153564453125)
loss: (9, 1311.7330322265625)
loss: (10, 6136.9638671875)
loss: (11, 2060.13330078125)
loss: (12, 2187.1513671875)
loss: (13, 1503.34326171875)
loss: (14, 890.942138671875)
loss: (15, 2157.22998046875)
loss: (16, 1544.6214599609375)
loss: (17, 1374.495849609375)
loss: (18, 5778.419921875)
loss: (19, 4172.26953125)
loss: (20, 2053.16064453125)
loss: (21, 4331.39208984375)
loss: (22, 1510.6148681640625)
loss: (23, 964.4656982421875)
loss: (24, 933.0519409179688)
loss: (25, 278.5400085449219)
loss: (26, 369.8470153808594)
loss: (27, 1726.3824462890625)
loss: (28, 884.07275390625)
loss: (29, 1621.32080078125)
loss: (30, 2579.365234375)
loss: (31, 1514.507080078125)
loss: (32, 2048.6376953125)
loss: (33, 388.98004150390625)
loss: (34, 960.6508178710938)
loss: (35, 717.336181640625)
loss: (36, 2116.53759765625)
loss: (37, 1662.52099609375)
loss: (38, 1265.8841552734375)
loss: (39, 864.8413696289062)
loss: (40, 828.3363647460938)
loss: (41, 1293.5238037109375)
loss: (42, 841.3224487304688)
loss: (43, 1101.6468505859375)
loss: (44, 103.13250732421875)
loss: (45, 383.4070739746094)
loss: (46, 1397.5972900390625)
loss: (47, 778.4154052734375)
loss: (48, 382.58782958984375)
loss: (49, 286.017822265625)
loss: (50, 1715.8109130859375)
loss: (51, 1477.539794921875)
loss: (52, 302.554443359375)
loss: (53, 1865.1473388671875)
loss: (54, 2083.387451171875)
loss: (55, 997.4697875976562)
loss: (56, 1843.952880859375)
loss: (57, 1215.8258056640625)
loss: (58, 1717.5830078125)
loss: (59, 1313.39111328125)
loss: (60, 532.0061645507812)
loss: (61, 1057.75634765625)
loss: (62, 748.0828857421875)
loss: (63, 408.6893615722656)
loss: (64, 972.9262084960938)
loss: (65, 512.7958374023438)
loss: (66, 224.05099487304688)
loss: (67, 1183.6654052734375)
loss: (68, 120.27642822265625)
loss: (69, 1520.8919677734375)
loss: (70, 1424.1182861328125)
loss: (71, 743.1149291992188)
loss: (72, 650.849365234375)
loss: (73, 279.20361328125)
loss: (74, 1707.6005859375)
loss: (75, 1707.205322265625)
loss: (76, 278.5609436035156)
loss: (77, 307.5604248046875)
loss: (78, 37.334781646728516)
loss: (79, 1755.53955078125)
loss: (80, 1342.2093505859375)
loss: (81, 1109.097900390625)
loss: (82, 811.7014770507812)
loss: (83, 491.6808166503906)
loss: (84, 1168.935546875)
loss: (85, 490.731689453125)
loss: (86, 118.796142578125)
loss: (87, 158.4890899658203)
loss: (88, 1036.7578125)
loss: (89, 429.4229431152344)
loss: (90, 1314.161865234375)
loss: (91, 2065.58837890625)
loss: (92, 963.4998168945312)
loss: (93, 652.067138671875)
loss: (94, 963.2802734375)
loss: (95, 652.1207275390625)
loss: (96, 952.4609375)
loss: (97, 505.2292785644531)
loss: (98, 751.0907592773438)
loss: (99, 377.36126708984375)
